Sleep,Wake,Time,Quality,date,filename,folder,section_type
~,11:00,,Decent,2025-08-11,2025-08-11.md,2025-08,Wake+Sleep
~,09:05,,Decent,2025-08-20,2025-08-20.md,2025-08,Wake+Sleep
~,~,,Decent,2025-08-03,2025-08-03.md,2025-08,Wake+Sleep
~,08:56,,Decent,2025-08-07,2025-08-07.md,2025-08,Wake+Sleep
~,11:15,,Decent,2025-08-14,2025-08-14.md,2025-08,Wake+Sleep
~,13:30,,Decent,2025-08-28,2025-08-28.md,2025-08,Wake+Sleep
~,12:46,,Decent,2025-08-30,2025-08-30.md,2025-08,Wake+Sleep
~,12:02,,Decent,2025-08-15,2025-08-15.md,2025-08,Wake+Sleep
~,18:21,,Decent,2025-08-29,2025-08-29.md,2025-08,Wake+Sleep
~,13:00,,Decent,2025-08-09,2025-08-09.md,2025-08,Wake+Sleep
~,13:15,,Decent,2025-08-12,2025-08-12.md,2025-08,Wake+Sleep
~,09:08,,Decent,2025-08-08,2025-08-08.md,2025-08,Wake+Sleep
~,08:45,,Decent,2025-08-10,2025-08-10.md,2025-08,Wake+Sleep
~,08:00,,Decent,2025-08-22,2025-08-22.md,2025-08,Wake+Sleep
~,12:35,,Decent,2025-08-23,2025-08-23.md,2025-08,Wake+Sleep
~,11:07,,Decent,2025-08-25,2025-08-25.md,2025-08,Wake+Sleep
~,08:30,,Decent,2025-08-21,2025-08-21.md,2025-08,Wake+Sleep
~,14:25,,Decent,2025-08-18,2025-08-18.md,2025-08,Wake+Sleep
~,~,,Decent,2025-08-02,2025-08-02.md,2025-08,Wake+Sleep
~,11:11,,Decent,2025-08-16,2025-08-16.md,2025-08,Wake+Sleep
~,,,Decent,2025-08-04,2025-08-04.md,2025-08,Wake+Sleep
~,09:01,,Decent,2025-09-16,2025-09-16.md,2025-09,Wake+Sleep
~,13:32,,Decent,2025-09-09,2025-09-09.md,2025-09,Wake+Sleep
~,09:21,,Decent,2025-09-02,2025-09-02.md,2025-09,Wake+Sleep
~,13:21,,Decent,2025-09-15,2025-09-15.md,2025-09,Wake+Sleep
~,12:59,,Decent,2025-09-12,2025-09-12.md,2025-09,Wake+Sleep
~,13:06,,Decent,2025-09-10,2025-09-10.md,2025-09,Wake+Sleep
~,13:04,,Decent,2025-09-27,2025-09-27.md,2025-09,Wake+Sleep
~,12:04,,Decent,2025-09-03,2025-09-03.md,2025-09,Wake+Sleep
~,15:36,,Decent,2025-09-07,2025-09-07.md,2025-09,Wake+Sleep
~,11:55,,Decent,2025-09-25,2025-09-25.md,2025-09,Wake+Sleep
~,08:30,,Decent,2025-09-29,2025-09-29.md,2025-09,Wake+Sleep
~,11:10,,Decent,2025-09-30,2025-09-30.md,2025-09,Wake+Sleep
~,14:00,,Decent,2025-09-17,2025-09-17.md,2025-09,Wake+Sleep
4:00~,08:45,4:45,NTB Considering,2025-09-20,2025-09-20.md,2025-09,Wake+Sleep
~,11:04,,Decent,2025-09-28,2025-09-28.md,2025-09,Wake+Sleep
~,15:13,,Decent,2025-09-08,2025-09-08.md,2025-09,Wake+Sleep
~,07:59,,Decent,2025-09-23,2025-09-23.md,2025-09,Wake+Sleep
~,13:29,,Decent,2025-09-04,2025-09-04.md,2025-09,Wake+Sleep
~,16:39,,Decent,2025-09-06,2025-09-06.md,2025-09,Wake+Sleep
~,09:07,,Decent,2025-09-14,2025-09-14.md,2025-09,Wake+Sleep
~,09:12,,Decent,2025-09-19,2025-09-19.md,2025-09,Wake+Sleep
~,09:38,,Decent,2025-09-01,2025-09-01.md,2025-09,Wake+Sleep
~,12:55,,Decent,2025-09-22,2025-09-22.md,2025-09,Wake+Sleep
~,09:25,,Decent,2025-09-24,2025-09-24.md,2025-09,Wake+Sleep
~,11:54,,Decent,2025-09-26,2025-09-26.md,2025-09,Wake+Sleep
~,12:10,,Decent,2025-09-21,2025-09-21.md,2025-09,Wake+Sleep
~,10:22,,Decent,2025-09-13,2025-09-13.md,2025-09,Wake+Sleep
~,09:58,,Decent,2025-09-18,2025-09-18.md,2025-09,Wake+Sleep
~,16:46,,Decent,2025-09-05,2025-09-05.md,2025-09,Wake+Sleep
~,13:40,,Decent,2025-09-11,2025-09-11.md,2025-09,Wake+Sleep
~,08:20,,Decent,2025-11-13,2025-11-13.md,2025-11,Wake+Sleep
~,10:30,,Decent,2025-11-07,2025-11-07.md,2025-11,Wake+Sleep
~,09:11,,Decent,2025-11-26,2025-11-26.md,2025-11,Wake+Sleep
~,09:10,,Decent,2025-11-11,2025-11-11.md,2025-11,Wake+Sleep
~,16:15,,Decent,2025-11-22,2025-11-22.md,2025-11,Wake+Sleep
~,08:45,,Decent,2025-11-18,2025-11-18.md,2025-11,Wake+Sleep
~09:20,,,Decent,2025-11-23,2025-11-23.md,2025-11,Wake+Sleep
~,08:27,,Decent,2025-11-03,2025-11-03.md,2025-11,Wake+Sleep
~,08:59,,Decent,2025-11-27,2025-11-27.md,2025-11,Wake+Sleep
~,08:40,,Decent,2025-11-12,2025-11-12.md,2025-11,Wake+Sleep
~,10:58,,Decent,2025-11-08,2025-11-08.md,2025-11,Wake+Sleep
~,08:46,,Decent,2025-11-05,2025-11-05.md,2025-11,Wake+Sleep
~,15:03,,Decent,2025-11-15,2025-11-15.md,2025-11,Wake+Sleep
~,07:25,,Decent,2025-11-24,2025-11-24.md,2025-11,Wake+Sleep
~,09:15,,Decent,2025-11-14,2025-11-14.md,2025-11,Wake+Sleep
~,08:47,,Decent,2025-11-06,2025-11-06.md,2025-11,Wake+Sleep
~,09:10,,Decent,2025-11-09,2025-11-09.md,2025-11,Wake+Sleep
~,08:50,,Decent,2025-11-25,2025-11-25.md,2025-11,Wake+Sleep
~,09:12,,Decent,2025-11-21,2025-11-21.md,2025-11,Wake+Sleep
~,08:52,,Decent,2025-11-10,2025-11-10.md,2025-11,Wake+Sleep
~,11:12,,Decent,2025-11-19,2025-11-19.md,2025-11,Wake+Sleep
~,09:24,,Decent,2025-11-20,2025-11-20.md,2025-11,Wake+Sleep
~,13:08,,Decent,2025-11-17,2025-11-17.md,2025-11,Wake+Sleep
~,08:13,,Decent,2025-11-28,2025-11-28.md,2025-11,Wake+Sleep
~,14:45,,Decent,2025-11-30,2025-11-30.md,2025-11,Wake+Sleep
~,09:15,,Decent,2025-11-02,2025-11-02.md,2025-11,Wake+Sleep
~,07:51,,Decent,2025-11-04,2025-11-04.md,2025-11,Wake+Sleep
~,12:58,,Decent,2025-11-16,2025-11-16.md,2025-11,Wake+Sleep
